Product Name,Rating,Customers_Rated,Price,URL
"Fire-Boltt Talk 2 Pro Ultra 1.39"" Round Display Stainless Steel Luxury Smart Watch, Bluetooth Calling & 360 Health Monitoring, 123 Sports Modes, Inbuilt Voice Assistant (Black)",4.2 out of 5 stars,39212,1699.0,https://www.amazon.in/Fire-Boltt-Stainless-Bluetooth-Monitoring-Assistant/dp/B0CG1X67V1/ref=sr_1_31?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-31
"boAt Flash Edition Smart Watch with Activity Tracker,Multiple Sports Modes,Full Touch 3.30 cm (1.3"") Screen,Gesture, Sleep Monitor,Camera & Music Control,IP68 Dust,Sweat & Splash Resistance(Moon Red)",3.9 out of 5 stars,35331,899.0,https://www.amazon.in/boAt-Flash-Smartwatch-Activity-Resistance/dp/B094BLFQTM/ref=sr_1_25?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-25
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution",4.1 out of 5 stars,33917,1299.0,https://www.amazon.in/Fire-Boltt-Bluetooth-Calling-Assistance-Resolution/dp/B0BF57RN3K/ref=sr_1_10?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-10
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking (Black)",4.1 out of 5 stars,33915,1299.0,https://www.amazon.in/Fire-Boltt-Gladiator-Bluetooth-Assistant-Interactions/dp/B0BP18W8TM/ref=sr_1_16?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-16
"Fire-Boltt Ninja Call Pro Max 2.01” Display Smart Watch, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance",4.1 out of 5 stars,33915,1299.0,https://www.amazon.in/Fire-Boltt-Launched-Display-Bluetooth-Assistance/dp/B0C496V772/ref=sr_1_27?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-27
"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Jet Black)",4.1 out of 5 stars,31165,1299.0,https://www.amazon.in/Noise-Advanced-Bluetooth-Brightness-Smartwatch/dp/B0B6BLTGTT/ref=sr_1_12?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-12
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" TFT Display, SpO2, 100 Sports Mode with Auto Detection, Upto 7 Days Battery (2 Days with Heavy Calling) - Rose Pink",4.1 out of 5 stars,31165,1199.0,https://www.amazon.in/Noise-Bluetooth-Calling-Tracking-Detection/dp/B0B5LW5DFQ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-15
Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,3.9 out of 5 stars,2914,389.0,https://www.amazon.in/b?node=21102587031&pd_rd_w=rmUkc&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=64Q8YVM4ZK9B4NJYC8D8&pd_rd_wg=Gi8TO&pd_rd_r=b318103a-9d77-4c3b-8b6a-5260b10d6536&qid=1714270189&ref_=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4
Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,3.9 out of 5 stars,2914,389.0,https://www.amazon.in/LOUIS-DEVIN-Silicone-Analog-LD-BK054-BLACK/dp/B0BD5R89RQ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-1
"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",4.1 out of 5 stars,19078,1399.0,https://www.amazon.in/Noise-Launched-Bluetooth-Calling-Tracking/dp/B0BJ72WZQ7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-2
Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,4.2 out of 5 stars,802,329.0,https://www.amazon.in/Matrix-Antique-Softest-Silicone-Analog/dp/B0CK6N9VDC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.QFsdwBxqK2RqisuwW4yO0MCfmkZ3DBDwtspz5OiJ7DqUlIJrVMtgxZGS30JubamZYSKjls9SZIh7FdDp2ptgbFEhKnK91PraZzSCBGcouRrsTn6RBBDBgWv5xfDWn_OazexVEluNOWs-g3Rv1xGSs7jo9h0vU1QsFJFyPu8NaJ2DZrSRq2jQ6BoP_FJTOTDYRmS288UZrRiA1Tj_Pw2lsna6y4JBRZxpVONovuVd9GyhtLVJvzT8qolEGI7nIDuAq8FPLAyoZHIG0UKHinwvTNcf3zdee3mcNleY7e0R39s.x1HaqagAF82pmekbUiu1WBCZxE1KhDr-8yGh8_T6bqY&dib_tag=se&keywords=watch&qid=1714270189&sr=8-5
